iter	Passed	Remaining
314	779	1695
315	782	1693
316	784	1690
317	787	1689
318	790	1687
319	792	1684
320	794	1681
321	797	1678
322	809	1697
323	813	1696
324	815	1694
325	818	1693
326	821	1690
327	823	1687
328	826	1685
329	828	1682
330	830	1678
331	832	1675
332	835	1672
333	838	1671
334	840	1669
335	843	1666
336	845	1664
337	848	1661
338	850	1658
339	853	1656
340	855	1654
341	858	1651
342	861	1649
343	863	1647
344	866	1645
345	868	1642
346	871	1639
347	873	1636
348	875	1633
349	878	1630
350	880	1628
351	883	1625
352	885	1623
353	887	1620
354	890	1617
355	892	1614
356	894	1610
357	897	1608
358	899	1606
359	901	1603
360	904	1600
361	906	1598
362	909	1595
363	911	1593
364	914	1591
365	917	1588
366	919	1586
367	922	1584
368	924	1581
369	927	1579
370	929	1576
371	932	1574
372	934	1571
373	937	1568
374	939	1566
375	942	1564
376	944	1561
377	947	1559
378	950	1557
379	952	1554
380	955	1551
381	957	1548
382	959	1546
383	962	1544
384	965	1542
385	968	1540
386	970	1537
387	972	1534
388	974	1531
389	977	1528
390	979	1526
391	982	1523
392	984	1520
393	986	1518
394	989	1515
395	991	1512
396	993	1509
397	996	1507
398	999	1505
399	1001	1502
400	1003	1499
401	1005	1496
402	1008	1493
403	1010	1490
404	1012	1488
405	1015	1485
406	1017	1482
407	1020	1480
408	1022	1477
409	1024	1474
410	1027	1472
411	1029	1469
412	1031	1466
413	1034	1463
414	1036	1460
415	1038	1457
416	1040	1455
417	1043	1453
418	1046	1450
419	1048	1447
420	1050	1444
421	1052	1441
422	1054	1438
423	1056	1435
424	1059	1433
425	1061	1430
426	1064	1427
427	1066	1425
428	1068	1422
429	1071	1419
430	1073	1417
431	1075	1414
432	1078	1411
433	1080	1409
434	1083	1407
435	1085	1404
436	1088	1401
437	1090	1399
438	1093	1397
439	1096	1395
440	1098	1392
441	1101	1390
442	1103	1387
443	1105	1384
444	1108	1382
445	1111	1380
446	1114	1378
447	1116	1375
